,Comments_youtube
248,Gassssss pol. Nuruti HAM keburu banyak prajurit yg gugur disana.
249,papua perlu jamahan tangan kita
250,Pemerintah jangan takut dgn ancaman dari KKB maju terus pantang mundur demi NKRI🇮🇩 salam buat Bpk TNI dan Bpk POLRI .GBU
251,"teroris bukan teroris yg ingin mengganggu negara ajak perang jangan lama2,, harus musnah baru aman,, cuma gitu2 aja bakal sampek tahun2 kedepan kagak selesai2,,

AU kerahkan bombardir gunung tempat persembunyian,, OPM operasi papua merdeka sepertinya mau nguasain papua untuk direbut,, jangan kasih lembek yg tegas,,"
252,"GAS TNI,POLRI🇮🇩"
253,"Sikat aja udah, otak kepala batu sikat aja...
Lama lama KKB Ngelunjak!"
254,"Awas Aja Kalo Negara Udah Menerapkan Wajib Militer, ngga mampus KKB dinkeroyok orang Indonesia"
255,"Memang bulan Ramadhan itu bulan penuh berkah, ekstrimis dan separatis di atasi semua oleh pemerintah. Btw belum ada lagi ya berita dari Australia soal ini, saya kira mereka dengan terbuka mendukung KKB ini."
256,"Sudah waktunya Indonesia bersih dari segala jenis teroris.. seperti yang satu ini, KKB jelas Teroris"
257,Kkb perlu di rudal g?
258,"Sudah bertahun2 banyak yg gugur negara sudah kacau baru sekerang di bilang teroris
Pengamanan di tujukan ke satu titik
Sedangkan yg lain kosong
Tinggal tunggu waktunya lagi negara ini bubar"
259,Saat Kejahatan meminta keadilan tanpa pikir panjang perbuatannya sebelumnya...primitf
260,"TNI - Polri semangat ,Pak.

Kami doakan berjalan baik dan sukses.Jangan biarkan mereka korbankan Masyarakat Indonesia lagi.Tumpas sampai akar KKB nya."
261,Maju terus papua merdeka 
262,"mereka bicara soal HAM ,,mereka sdh melanggar Ham.."
263,"memang riilnya gitu tpat julukan KKB-OPM adalah teroris buanyak bukti2 membantai warga sipil papua,,bhkan tpat jg laskarnya Iblis maka pantas dibumi hanguskan keakar2nya,, bravo TNI-POLRI "
264,"Hei KKB, anda udah ngaca belum? Masyarakat, guru, pendeta, dokter anda bunuh-bunuhi. Anda ini sakit atau gimana?"
265,"Begitu deh,
Dulu bilang daerah nya tertinggal
Sekarang udah banyak yang sekolah tinggi - udah banyak yang pintar.. sekarang mau merdeka sendiri"
266,Ya tau kan beking nya KKB siapa? Sejak preport dikuasai indonesia makin gencar mreka
267,"Saya dukung pemerintah, sikat habis teroris yg telah bnyak membunuh aparat"
268,"Teroris ya teroris basmi basmi,yang dibelakangnya udah mulai keluar keluaran tuh,tinggal nunggu aja kan dalangnya siapa"
269,"Sikat habis aja,,,bravo tni"
270,"SIAP SIAP UNTUK TNI PASTI ADA CAMPUR TANGANYA DENGAN NEGARA SEBELAH 
SEMANGAT "
271,"Blum aja di keluarkan alusista tni kkb udah kabur
Apa lagi di keluarkan,seperti tank dan jet tempur,
Kkb bisa apa, bisa maraton"
272,Sudah saat nya papua jadi pusat militer dan pusat latihan berat ayo dukung biar panglima dengar
273,Benar2 teroris mengganggu keamanan jangan kewatiir pak Mahmud  benar
274,"Kalau seandainya Papua Direbut OPM 


Berarti Sia-sia Operasi Trikora yang dilakukan Ir.Soekarno saat Membebaskan Tanah Papua dari BELANDA..."
275,KKB dan para koruptor harus disamakan statusnya jadi teroris. Mereka sama2 menyengsarakan masyarakat.
276,"Ga usah takut, sikat habis"
277,Kasih kacang coba.
278,Tidak ada ruang dialog untuk penyelesaian Papua ka
279,"KKB telah membunuh banyak rakyat papua,dan mereka telah membuat kerusuhan dan kerusakan...habisi saja KKB krn mereka orang2 yg sadis dan kejam.
Jika pemerintah tdk mengambil tindakan tegas maka akan ada pihak lain dari luar negeri yg akan memanfaatkan situasi ini utk memprovokasi negara lainnya.padahal papua barat adalah bagian dari NKRI."
280,"mari kita doakan bersama2 buat TNI dan polri yg sudh berjuang bertaruh nyawa, hnya TNI dan polri yg bisa mnjaga kami dan indonesia maka mari kita doakan mereka bersama2 ....."
281,"Udahlah klo ga bisa dengan baik², basmi aja kelompok tersebut
Lagipula 92% warga pro nkri"
282,Penjahat sesungguhnya pake uji materi segala... Hahaha
283,Tidak usaha banyak andai andai PEMERINTAH TIDAK BOLEH KALAH dengan separatis bersenjatan KKB OPM di PAPUA  wajib di habisi sampai akar nya.Bravo NKRI HARGA MATI.
284,Kalo bukan teroris ngapain nembakin warga sipil yg tak berdosa
285,sudah tau mengacau ngapain ke pengadilan internasional kepepet ya terdesak ya ciut ya TNI. POLRI . Remmat KKB. lumat KKB. TNI. POLRI .Bravoooo.maju terus.
286,"Jangan takut NKRI,MEREKA MEMBUNUH MENEMBAKI,MEMBAKAR ITU APA NAMANYA,KALAU PENGADILAN INTERNASIONAL BELAH MEREKA,BERARTI MEREKA DUKUNG."
287,"Berantas kkb,nkri harga mati rakyat indonesia mendukung langkah pemerintah."
288,"Kerahkan helikopter serbu, jet tempur, tank... Acak acak mereka di hutan papua.... Masak kita kalah di tanah kita sendiri...."
289,"Harus nya kkb itu bukan teroris,dia cuma ingin kelompok yg pro pingin bangun negara sendiri / pingin lepas dari Indonesia,dan tujuan teroris saya yakin banyak orang tau,beda sm kkb,klw Mahfud sama kan dg teroris salah paham itu mahduf"
290,"Lah KKB ngerti Hukum to?
Belajar dimana 
Ntar di pengadilan nembaki hakim lagi wkwk"
291,Semua gerakan yg ingin menghancurkan Negara dengan memberikan rasa takut kepada Rakyat....bisa disebut Teroris..
292,Gausah panggil KKB/OPM. Panggil aja terroris setuju bat gua...
293,"Kasih mereka merdeka, tapi jangan kasih 1 senti pun wilayah papua"
294,Coba mahput yg turun langsung perang ke Papua baru seru
295,"Saya Merinding bila dengar nama kkb... Serta keluarga saya juga, ganas"
296,"Anggap lah indonesia itu penjajah papua, kalian seharusnya yg sebagai OPM bahu membahu melawan TNI, knp saat TNI mulai tegas kalian ketakutan?
Ga tahu ya sejarah bangsa indonesia yg melawan kolonial dngn bambu runcing...
Teriak aja keras, giliran di serbu lari ke atas pohon...."
297,"uji materi apa  warga sipil sudah jdi korban tiap bulan , itu sudah masuk di undang2 terorisme ,, yg namanya pengkhianat bangsa harus di basmi , apalagi ideologi mereka beda , wah teroris betul ini , sering beraksi pula"
298,"Ada bener nya juga sih itu KKB sedikit  ,, ,tapi KKB lebih teroris aja Selama bertahun tahun bikin kacau , tp pemerintah sama aja ngk beda saat ini  "
299,Pak Mahfud  jangan ambil keputusan di tengah kepanikan dan emosi atas meninggalnya jenderal putu  Dani. Jika anda sebut OPM teruris maka sama saja anda tidak tahu sejarah OPM dan tidak tahu definisi  teroris. Maka nanti seluruh negara di dunia akan mendukung Tpnopm sehingga Dewan keamanan PBB akan bertindak  karena operasi militer sedang berlangsung sekarang di Papua terhadap OPM dan pendukungnya.
300,"Sikat saja bpk2 aparat keamanan, siapa sajah yg merong-rong kedaulatan dan keamanan negeri ini. Satu kata mari kita lawan dan basmi hingga ke akar2nya."
301,"Kkb sudah menteror, membunuh masyarakat sipil dari seorang murid, tukang ojek, guru, aparat dan masyarakat lainnya. Jadi pantas di sebut teroris, jadi pantas untuk di buru, jadi pantas untuk di berantas. 
Aparat TNI dan POLRI tidak melanggar ham karna memberantas teroris di NKRI."
302,"Klo dulu bukan teroris, klo sekarang udah teroris"
303,
304,"I love OPM........

Tapi tidak dengan kekerasan..."
305,"KKB Bukan Teroris lagi, mrk itu iblis laknat kejam dan keji "
306,Negara jangan sampai kalah sama preman itu yang sering di endus2 kan dari dulu sama permerihan pak Jokowi tapi untuk membasmi pemberontak saja susah banget mengatasi nya padahal sudah jelas sudah banyak korban dari dulu atas perlakuan mereka
307,"Mau pbb mau international sudah telat SELAMAT KKB DI KIRIM KE NERAKA PASUKAN SYETAN .

NO KOMPROMI "
308,"Cocok di bilang Teroris
Mau protes tapi kenyataan Teroris haha kasihan kau de KKB"
309,"kkb memang teroris karena membunuh warga sipil yang tidak bersalah, terus maju TNI jangan biarkan sparatis dan teroris bercokol di bumi pertiwi"
310,Mmbunuh orang tdk bersalah itu apa bkn terorisme.
311,Babat habis KKB setelah itu evaluasi.. kalau pemerintah pengen aman berlakulah adil TDK hanya di Papua tapi di NKRI adil ekonomi adil hukum
312,Bener kata pak mahfud itu.... Jls n ada fakta nyaa
313,"Bunuh guru, terror warga, ya jelas di sebut teroris yakali kalian mau di sebut ormas"
314,"Bahkan, KKB pun gak mau disebut teroris."
315,"Bicara mau menantang TNI-POLRI, serta di Tantang lngsung teriak ham aneh sekali padahal mereka juga bersenjata... Bravo TNI-POLRI "
316,negara punya bnyk inteljen.klu ada indikasi apapun yg bakal bikin ruwet jangan kasih kesemptan agar tidak bisa berkembang seperti kkb dll yg ada di merah putih tercinta ini.
317,Dari dulu yawes teroris. Wong sudah bunuh TNI POLRI lebih dari 3 kog.
318,Secara tersirat ini adalah genderang perang NKRI
319,"Minta merdeka berarti belum merasa diperlakukan adil, 
Tpi gk perlu membunuh sesama rakyat... Panah aja pejabat²nya yg korupsi 
Karena banyak rakyat yg merasa masih blm diperlakukan adil bukan di papua saja"
320,"Sdah bertahun2 tdk habis2...tahun ini harus di basmi tuntas tanpa ampun,jgn sampai TNI dan negara kalah dalam hal ini"
321,Pembawa acara panggah iki ae to boss
322,"Ya Allah semoga para prajurit TNI yang bertugas disana tidak ada yang gugur,tapi jika ada yang gugur maka berikan mereka mati syahid amin"
323,Kenapa kau tidak boleh dilabel teroris???? Sikat habis teroris KKB sampe menemui ajal semuanya!!!
324,"Jelas murka, krna gk sanggup melawan tni "
325,Bawa saja ke pengadilan internasional.. kelompok kriminal akan tetap dicap kriminal dinegara manapun.. justru itu kesempatan kita untuk membawa kasus kekejaman mereka ke dunia agar kita mendapatkan dukungan untuk memberantas tuntas mereka
326,"Kasihan, bertahun tahun di mainin sistem, dikeruk hasil bumi nya. Daerah nya dengan kekayaan seperti itu harus nya 4kali lebih cepat pembangunannya dengan pulau Jawa. Sungguh malang Papua ku, pilih bendera NKRI buat maju dan berkembang."
327,"Kalau bikin berita,bikinlah dukungan kepada negara woii"
328,"Maklum anggota kkb banyak yg gak sekolah maka gak bisa mikir, mau di bodohin orang asing untuk memberontak terhadap NKRI, habisin aja TNI polri."
329,Negara baru melek
330,Tidak ada kompromi tumpas habis sampai ke akar2nya..NKRI harga mati 
331,"Tangkap parakoruptor ,,biar selesai semua masalah,,Kasih mati aja..Heran gua sama hukum di negeri ini"
332,sudah cukup sabar .... .... babat habis . dan selidiki siapa penyokong di balik semuaaa ini ......
333,"tunggulah kami di hutan2 kalian wahai teroris, kalian telah berbuat biadab terhadap masyarakat sipil, guru2, dan para pekerja2 tak berdosa"
334,Mau melaporkan diri sendiri ya?  Tol0l
335,Pembrontak atau apapun namanya yang mengganggu keamanan maupun yang merugikan negara yaa harus ditumpaslah.
336,"Sudah saatnya melepaskan mereka untuk merdeka...
Apakah masih belum puas mengeruk kekayaan alam bumi Papua..
Bagi wilayah jadi dua pro Indonesia dan pro OPM, Papua barat dan Papua timur itu aja kok repot jadi tidak ada pertumpahan darah.."
337,"Klo di biarkan lama - lama KKB makin berani, benar apa kada pemerintah KKB adalah teroris yg perlu di bumi hanguskan.."
338,"Jelas2 mereka teroris masih juga cari alasan ke pengadilan internasional,gk bisa negara liar memcampurin masalah keamanan dalam negeri ini,hancurkan jgn kasi ampun,jelas mereka teroris bukan KKB yg selama ini mereka gaungkan.bravo TNI"
339,Ajak ketemuam tipu setelah itu BUNUH PAKE GAS BERACUN
340,Brondong abis sampai ke akar-akarnya. Jgn sampai ada yg tersisa.
341,"Sudah jelas tindakan-tindakan mereka layaknya teroris, karena mengganggu  pembangunan dan kenyamanan masyarakat Papua yang notabene adalah saudara-saudara mereka sendiri"
342,apakah GAM juga teroris?
343,Wajib..menyebar..intelijen..di setiap desa di Papua..irian jaya..untuk menangkap mereka hidup..agar terbongkar..siapa yg mempersenjatai mereka..untuk melakukan teror..terhadap..negara...rakyat Papua..harus di libatkan..untuk membasmi KKB.teroris..️️️
344,"Bunuh ,guru bunuh dokter, bunuh rakyat sipil, kau bilang bukan teroris,  strees saat di ajak perang balik kau berlindung di balik HAM"
345,"Hadir sy di papua
15 tahun sy di sini
Sy ada saran
Supaya warga tdk lg membela OPM mohon pemerintah pusat bantu kembangkan SDM papua."
346,"Emang dasar KKB ,,berantasss habiss KKB"
347,"Mereka tidak mau ada pembangunan di Papua , mereka bilang orang2 non Papua asli itu rasis, mereka bilang TNI POLRI melanggar HAM, transmigran itu penjajah, ...
SEBAIKNYA  TO THE POIN  SAJA :
MAKAR  !"
348,"Menurut saya kelompok KKB ini ada pihak orang asing dari luar negri yg ikut terlibat,dengan mendanai dan mensenjatai kelompok KKB!! 
Saat ini wilayah negri kita Indonesia banyak di incar negara lain."
349,"kenapa harus takut kepada KKB papua,? singkirkan sampai keakar akarnya!!"
350,Mereka menantang ke pengadilan...apa mereka gak mikir berapa orang yg sudah mereka bunuh selama ini...mereka memang Teroris...habisin secepatnya....lanjutkan Pemerintah Indonesia...
351,"Lah dia mah melebihi teroris bunuh orang sembarang sikat aja TNI semoga Papua cepat aman dan kondusif, aman warganya cari uang tidak di bayangin teror"
352,Australia campur tangan ini maka nya opm dari dulu masih ada
353,Trus kelakuan yg nembak2in org itu apa kalau bukan teroris?
354,Kalau ga mau dibilang teroris ya tunjukkanlah itikat baiknya.
355,NYIMAK HADIR DARI TEMPAT2 TERBARU DI PALEMBANG EXPLOR 
356,"Makanya kalo bangun negara itu yang merata!, jangan hanya di jakarta!. takut gak ada yg ngelihat kalo bangun di papua?. takut gak dapat pujian?."
357,"Kalo bukan teroris lalu apa looooo namanya ,, udah tau Lo pada salah mendirikan negara di dalam negara.........MIKiR atuhhh browwwwww"
358,"Tenang ,92% warga Papua pro nkri"
359,Mudah mudahan Papua keluar dari Negara Indonesia... Amin
360,Semoga Allah selalu melindungi TNI yg bertugas
361,Jangan takut majuterus untuk berantas kkb kerna lewat batas kesabaran pemrintah
362,Indonesia gagal dalam memahami akar permasalahan di Papua. Penyematan teroris hanya menambah permasalahan!
363,Para dukun santet mohon bantuannya
364,Trslah berjuan kkb smpai akhr hayat klian dan hrs mrdka freeedom papua
365,"Udah kelewatan ini KKB, ayo TNI-Polri tuntaskan demi NKRI"
366,Tol0l. Pengadilan internasional itu berlaku untuk HAM a.k.a kalau terjadi kejahatan genosida. Lah KKB kan membantai kaumnya sendiri. Itu gmana ceritanya? Wkwkwk
367,"Namanya juga sering menteror masyarakat Papua, pantaslah disebut teroris. 
Kalau sering korupsi disebut Koruptor.

Gitu aja kok repot."
368,"Dinegara ini juga banyak teroris,mereka hanya berselimut keyakinan dan memakai topeng agar bisah memperkuat kekuatan untuk meledakkan bangsa sendiri."
369,Ntah udh pecah malah minta maap wkwk
370,Baru sy seneng nih sm pak mfud. Brantas kkb.
371,"Selain dicap teroris, kkb juga bisa dicap pemberontak sesuai hukum negara."
372,Setiap yang menggangu keamanan dan kenyamanan yang menimbulkan ketakutan & keresahan namanya teror  ya pantas lah jadi teroris
373,"pemberontak/penjahat menolak dituduh teroris  dan akan menuntut kepada negara yang sah? 

sama kayak ada kelompok kriminal menolak dituduh penjahat dan mau menuntut balik aparat berwenang"
374,ternyata negara ini belum sepenuhnya merdeka 
375,Aparat hukum yang makin tegas dan profesional membuat semua lapisan masyarakat bisa rukun dan kompak dengan nurani yg iklas bahu membahu berkarya mensejahterakan keluarga agar Indonesia (makin) Maju !
376,"Nembakin warga sipil yg gak salah apa"", memperkosa wanita, dll kalau bkn teroris apa lagi hah! Mau lu koar"" bkn teroris tetep aja di mata kami WNI, KALIAN TETEP SEORANG TERORIS!"
377,"Siapa sih mereka? Seenaknya banget OPM alias KKB, KSB. Separatis wajib dibasmi"
378,Kemarin nantang TNI POLRI. sekarang panik sendiri.
379,"Sudah banyak nasib warga sipil yg disandra dan dibunuh ,bangunan pendidikan dihancurkan , 
apakah mereka menutup mata sama perbuatannya ."
380,"nah orang usut orang yg berangkat ke pengadilan nasional , tangkap karena dia salah satu dari KKB it u"
381,"kalo mau bersuara disini
gaakan ada yg denger
yg ada diajak adu argumen sm netizen lain
mending beraspirasi depan pemerintah langsung minta usut KKB, berantas habis! "
382,"Tidak dari dulu aja di sebut terorris, klo dari dulu di sebut Terorris, TNI menghabiskan menggunakan Alutsista sperti drone tdk akan melanggar kemanusiaan dan tdk di kecam oleh negara lain, karna terorris musuh semua negara.!!!"
383,Kkb itu teroris + pemberontak ...bantai abissss...maju terus TNI + Polri 🇮🇩
384,"Amsal 7:18 Marilah kita memuaskan berahi hingga pagi hari, dan bersama-sama menikmati asmara.,"
385,"Basmi sampai ke akar""nya tetap semangat buat kalian TNI & POLRI 
semoga selalu dlm LindunganNYa"
386,MERAKA JUGA PUNYA SEKUTU
387,AYO Dukung TNI POLRI ....Tangkap kkb Hidup atau Mati...Kami Siap Bela Negara
388,"Kenapa gk dari dulu di sebut teroris, biar uu terorisme bisa diterapkan,, "
389,Eleh sok pengadilan internasional... Pakai sendal ja sering lupa...  
390,"Kami mendukung pemerintahan indonesia secara resmi mengenai hal ini, NKRI harga MATI."
391,Ibarat pembunuh tpi ga terima di cap pembunuh
392,Kasian para TNI
393,"Jangan banyak Omong, yang nantang kan anda.
Ayo TNI & Polri segera habisin tanpa ampun, biar kapok."
394,Kerah kan lah heli apace tuh biar mati semua opm.kkb
395,Mereka Mulai ketakutan minta bantuan dari luar kayak nya
396,Bearti apa yg dibaca oleh mput uud ham yg berlaku di indon sama jahat nya kkb dgn penegak hukum kita trhadap pembunuhan laskar fpi 3 bulan yg lalu di km-60.
397,sekali bom habis...!lanjutkan TNI -POLRI jangan kasih ruang gerak buat kkb pengkhianat bangsa...
398,"Lu aja gak adil, ngapain ke pengadilan?"
399,Jgn cuma KKB yg di perangi...tapi Pemain diblakang layar ini yg hrus di penggal...krn mereka2 inilah akar masalah sebenarnya..saya yakin sebagian yg ikut berjuang dgn KKB itu hanya korban ketidak tahuan mereka akibat Hasutan dan ancaman dri pihak pembesar KKB dan para penghianat  BERDASI yg  Bisnisnya Terganggu...
400,"Jangan kasih ruang bergerak walau cuma setitik, NKRI harga mati"
401,"Trus mau di akui Ormas gitu,, mana ada Ormas bawa senjata ak 47,,bawa sejata api,, jelas ini terorisme,,"
402,"Yaudh semua rakyat indo demo aja ke opm yukk wkwkwk kalau ga mau di bilang terorisme ya jangan neror orang ga bersalah, kalau mau buat negara jangan di dalam negara yang rakyatnya sudah menyatu menjadi sebuah negara. Kalau mau buat negara sendiri cari tempat lain yaaaa di palung mariana atau  di Samudra Arktik atau di Kutub juga boleh masih kosong"
403,"KKB & OPM  bukan Teroris, Mereka kulit hitam rambut keriting bukan NKRI, mereka siap mati dan membela negara sampai merdeka. TiLes🇹🇱"
404,KKB adalah alatnya vanuatu dan australia.Rakyat indonesia harus mengutuk segala perbuatan KKB yg ingin menghancurkan NKRI.Allohu Akbar
405,"7 ,jgn pernah tkt acaman dari pihak manapun, ayo maju terus nkri"
406,"Hancurkan terorir KKB, biadap"
407,"90 persen lebih warga Papua pro NKRI, trus yg mau dibela KKB ini apaa dan siapaaa"
408,jika perlu rakyat siap mbantu
409,Walaupun telat jadilah.....so time to action now
410,"Ratakan KKB ,tumpas tuntas!"
411,"Merampas uang desa, membunuh warga sipil, menciptakan teror, sudah jelas teroris.."
412,"Gimana gak jadi teroris, warga yang ga tau apa"" aja di serang"
413,Mereka dapet senjata dr mana sih?
414,"Basmi sampe ke akar"" nya, ngapain takut sm sgelintir orang itu... gempur, tikung, jangan kasih suplly mkanan... biar pada mati kelaparan di hutan."
415,"apapun sebutan bg mereka, yg jls mrk pemberontak dan pengacau negara jd mrk wajib di tumpas habis hingga ke akar akarnya."
416,"90%-an pro NKRI???
Coba referendum!
Berani gak?"
417,Ujungnya nnt Indonesia melanggar HAM .. dan KKB menang
418,Bebaskan papua...papua maju terus pantang mundur papua jangan lagi di jajah indonesia
419,"Udah lama bikin kerusuhan , teror sana sini.,...
Punya pasukan dan senjata api,.
   Baru sekarang sekarang di labelin teroris , coba kalo yang pake sorban berjanggut bawa kalimat syahadat bawa piso dapur"
420,Tak peduli apapun judul yg d kasik sm KKB itu. Yg pasti dia mu merusak bangsa ini. Tak ada ampun bagix. Kejar terus tumpas habis.
421,"Pemerintah jangan kalah dengan teroris, dg kelompok lain berani kok..."
422,Ladenin coba. Pengen tau gua gimana kalo masuk pengadilan internasional beneran
423,Harus disebut..apa..Pahlawaan...kaah???
424,"Cie cie kkb . Enak ya yg punya pendukung dari luar... Ntar di skak lagi baru tau rasa loh.. Kloberani ga usah ke pengadilan internasional., tapi hadapi tuh Ghost Recond nya indonesia"
425,"Mari masyarakat indonesia jangan lagi sebut mereka kkb,tapi sebut mereka teroris.
Biar mereka kepanasan,karna kalo mereka di cap sebagai teroris maka mereka gk bisa lagi bilang HAM ketika TNI menghabisi mereka."
426,"Kasian kbb tu 
Mereka cuma minta hak2 mereka 
Mereka tau tempat tinggal mereka di keruk2 dan semakin meluas 
Hutan tu pun lama2 gundul "
427,"Basmi aja sampe ke akar2nya,,perkuat militer kita ,paling gak setara cina"
428,"Kami berharap TNI & POLRI agar lebih tegas ! dan cepat ! memberantas KKB krn sdh cukup lama dan membahayakan NKRI , anggota kkb juga tdk banyak  ,gunakan saja senjata pamungkas yg ada spy lbh efisien hiraukan soal HAM krn mereka kkb justru yg melanggar ham,benar2 dicari sumber2 pemasok senjata ini kuncinya..."
429,"Di cap teroris kok gamau tp membunuh sesama warga nya,masyaallah"
430,Semangat TNI POLRI 
431,Coba perwakilanya ditahan
432,klo ngga goodlooking setidaknya goodattitude
433,"Hujanin petasan kkb wkwkwk ,gua gak punya pistol soalnya"
434,Tepat itu kebijakan dan keputusan Pemerintah tindak tanduk KKB dan OPM selalu mengganggu ketentraman dan pembunuhan rakyat Papua ....maka tepatlah disebut TERORIS. ini urusan dalam negeri Indonesia tidak usah melibatkan negara asing Indonesia Negara Berdaulat dari Sabang Sampai Mauroke...dari Miangad sampai Pulau Rote  ....Merdeka NKRI harga mati !!!.
435,"Nah, kali ini nggak ada alasan HAM. Sikat aja..."
436,"Pemerintah jgn berlembut kpd teroris,SBP teroris  ni boleh mengancam keamanan rakyat,"
437,"Kelompok bersenjata ini sdh tidak bisa diberi toleransi , sikat habis sampai ke akar akar nya"
438,"Sekelompok atau organisasi bersenjata membunuh warga sipil dan TNI polri adalah suatu penyerangan terhadap Negara.Mereka bukan KKB tapi memang pantas di sebut Teroris,,Negara dengan seluruh kekuatan aparat dan rakyat nya wajib membinasakan nya.."
439,"wkkwkwkwk,opm opm,ngakunya ditindas,tapi ngebunuh tni,ngelunjak,tapi giliran di brantas lapor pbbbilang aja mau merdeka,hati hati ntar sda lu habis di kuras ama negara lain"
440,Wahai pejabat ayo berani kan diri untuk membela negara kita. Jangan sampai di CAP negara-negara lain Indonesia tidak baik.
441,"Mengganggu, menyakiti, membunuh oranglain bahkan yang se ras satu suku satu bangsa, membakar sekolah yang merupakan hak anak anak disana, membuat ketakutan saudaranya sendiri kok masih ga mau, ga trima di sebut teroris. Anda sehat kah?"
442,Kelompok Kriminal Bersenjata (KKB)
443,"Memang Kkb itu TERORIS 
Mau Apa kalian...
Jangan mimpi mau Merdeka
Kita akan kejar terus sampai punah kalian semua, TNI tdk ada kata menyerah., Bravo NKRI"
444,Kok lucu
445,"Intern Indonesia. Kalau kanguru dan yg lain ngikut2, ketahuan kalau kanguru dibalik kkb itu. 
Bravo TNI POLRI....semangat...!!!!!"
446,KKB pun harus diadili utk setiap nyawa yg di lenyapkan dg sengaja
447,lnformasi TNI kita di papua
448,Liat saja seluruh Papua goncang kekacauan di mana mana saat nya dia harus berdiri sendiri orang menantang Papua merdeka mati dgn sendirinya ingat ingat kalian ini bukan bohong
449,"Golkan aja ne KKB mau bersih aja lu berantas habis terorisme KKB, gaskeun TNI Polri."
450,"Doa kami menyertai TNI / polri.. 

Tuhan akan melindungi semuanya "
451,apa cuman gw yg kepikiran. pas itu ada wanita mau nyerang polisi tapi keburu di tembak dan di cap teroris. tapi kenapa kkb dari dulu menyerang tni/polri kenapa baru sekrang di cap teroris
452,"Dikatakn teroris protes,habis mau dikatakn apa yg jahat begitu,sesama suku nya saja  di Papua dibantai/ dibunuh,makanya jadi manusia itu hrs baik sesama manusia ."
453,"pelanggaran dah jelas, penanganan sesui payung hukum, gasss"
454,Tepuk Jidad
455,damaikan negri ini YA Allah
456,Wkwkkww FPI yg jelas jelas selalu membantu bencana malah di cap organisasi terlarang tapi KKB yg jelas jelas gitu melakukan terorisme malah di anggap kriminal doang salam akal sehat
457,"92% org papua yg mengaku sbgai bagian NKRI itu yg mana,jangan melakukan pembohongan publik....coba tanya org papua"
458,Wkwkkw Hanya orang bodoh yang mencap KKB sebagai Teroris wkwkkw Gimana Pula Separatis GAM (Gerakan Aceh Merdeka)yang ingin Aceh merdeka dulu tahun 2004 bisakah dicap teroris juga ha? 
459,Turunkan densus 88 ke papua...
460,MANTAPPPPP KASIH BINTANG  BUAT BAPAK JOKOWI
461,Apa bedanya kelompok kriminal yg sering membuat teror dg para teroris?
462,emang kalo ke pengadilan bakal ada yang bela?
463,"Udah hajar, habisin aja orang2 brintik  item dekil itu, bisanya dari dulu bikin rusuh aja, mahkamah internasional ngerti apa, mereka gak ngerti gimana Pahlawan2 Indonesia dulu mempertahankan Irian jaya, Indonesia diganggu, kita sebagai Bangsa membela dan mempertahankan kedaulatan kok dibilang pelanggaran ham. Mungkin mereka juga pingin Indonesa hancur kali yaa"
464,"Sudah banyak memakan korban baik penduduk lokal maupun tentara kita..bangunan dibakar,  jangan pedulikan, negara kita punya aturan..  mereka harus tunduk pada aturan negara.. pengen enaknya saja bunuh2 orang tp giliran mw dibunuh malah teriak2 HAM"
465,KKB kalau terkana grebek TNI langsung mengaku pro NKRI tapi kalau sedang di luaran suka neror ada jg yg mengaku ngaku cinta indonesia tapi nyatanya hanya jadi mata2
466,Msh aja menyangkal... tp kalo bunuh org gk pake mikir. Knp sich kkb minta d spesialkan tp menolak unt berdamai. Apa dg membunuh org itu wajar bg kalian. Mau d perlakukan spt apa lg kkb.
467,Basmi kelompok KKB sampai ke akar2nya
468,Kembalilah ke pangkuan bumi pertiwi sodaraku papua.. Jngn mau di jadikan alat utk kepentingan orang2 yg memanfaatkanmu untuk melawan tni
469,Kasian yang kerja bikin jembatan dibunuh secara keji
470,"Brangus smua penghianat di negri ini, hancurkan KKB dan klompok"" sparatis yg mau merongrong kdamaian indonesia"
471,"Memang teroris.. Setiap kelompok yg melawan pemerintah, adalah teroris"
472,"Teroris polisi yang membantai Rakyat. 
Sampai hari ini  belum ditangkap"
473,"Kkb singkatan dari kumpulan kepala binatang.
Hidup TNI -POLRI
GARUDA DI DADA KU"
474,NKRI harga mati
475,"SEMANGAT BUAT ABANG ABANG TNI POLRI, YG ADA DI PAPUA, SIKAT HABIS SAJA ITU PARA BINATANG KKB,     MEREKALAH YG SELALU MENYERANG APARAT TNI POLRI.."
476,"liat aja negara yg membela mereka, PASTI ABG ADIK SI AA bersaudara..., 
Paling seneng lihat kerusuhan di negara orang, apalagi potensi keuntunganya besar sperti di papua...
Timor Leste adalah cerminan negara yg di kuasai oleh AA cuma dikuras ja SDA.a rakyatnya pada susah gk mereka pedulikan.."
477,"Melucu aja itu teroriss
Pake uji materi segala"
478,Kamu kira TNI/POLRI hanya cuma diam harusnya sadar yang kalian lakukan sebelumnya melakukan kekerasan terhadap warga kalian itu warga negara atau musuh kok menggangu kedaulatan nkri ya pantas di cap teroris mau siapapun itu yang menggangu nkri pantas dibasmi
479,Sejarah Teroris  pernah minta Dialog dgn Pemerintah k???
480,"Perjuanganku lebih mudah melawan penjajah, Tetapi perjuangan kalian lebih sulit karna melawan bangsa sendiri
""IR .SOEKARNO"""
